	city	lat	temp	humidity	wind speed	cloudiness
368	toora-khem	52.47	-5.19	71	0.66	0
369	awbari	26.59	27.91	9	3.75	0
370	ust-shonosha	61.15	4.31	96	3.08	42
371	matara	-3.48	12.21	87	1.16	46
372	isiro	2.77	20.91	96	0.4	54
373	antofagasta	-23.65	14.0	82	7.2	90
374	yeppoon	-23.13	18.0	77	3.6	14
375	menongue	-14.66	21.31	15	2.19	86
376	souillac	45.6	16.96	77	2.1	75
377	abeche	13.83	32.41	39	3.38	33
378	beihai	38.95	18.0	100	5.0	0
379	san diego	32.72	20.95	60	2.1	20
380	lorengau	-2.02	25.01	84	1.2	58
381	sao joao da barra	-21.64	27.48	45	7.2	0
382	anadyr	64.73	-1.07	80	7.0	40
383	pailon	-17.66	24.96	74	6.2	75
384	vilsbiburg	48.45	10.04	81	5.1	75
385	lauria	40.05	20.81	79	0.75	0
386	prieska	-29.67	18.31	12	4.72	0
387	mabaruma	8.2	33.21	47	2.67	94
388	okhotsk	59.36	-1.39	53	7.75	57
389	esperance	-33.86	13.0	100	4.1	75
390	longyearbyen	78.22	-1.0	86	5.1	75
391	owosso	43.0	14.57	100	3.6	90
392	skovorodino	53.99	-2.29	64	0.83	70
393	esil	51.96	7.71	44	3.57	44
394	watsa	3.04	19.51	96	0.3	98
395	fort nelson	58.81	8.0	65	1.5	75
396	malinyi	-8.94	26.81	66	1.34	31
397	rehoboth	-23.31	19.51	13	9.38	0
398	quelimane	-17.88	23.0	88	4.1	75
399	novokayakent	42.39	20.0	94	1.45	40
400	hofn	64.25	6.0	92	2.6	90
401	codrington	-28.95	8.37	93	0.96	0
402	klaksvik	62.23	8.0	70	3.6	40
403	shenjiamen	29.96	23.71	85	1.84	0
404	huntington	40.87	31.05	52	4.6	1
405	sola	-3.17	24.11	56	1.33	60
406	new iberia	30.0	32.19	55	1.5	1
407	banda aceh	5.56	27.11	79	5.53	100
408	itarema	-2.92	33.0	43	8.7	75
409	manokwari	-0.87	22.31	70	2.38	18
410	araouane	18.9	38.71	13	3.66	26
411	varhaug	58.61	10.38	71	1.5	0
412	jadu	31.95	27.91	19	2.85	0
413	nhulunbuy	-12.18	22.0	94	5.92	72
414	mercedes	-33.25	14.44	79	10.73	100
415	amapa	15.09	32.7	55	1.5	20
416	emirdag	39.02	20.61	34	4.7	67
417	santa maria	-16.02	33.44	22	4.1	40
418	san jeronimo	-13.65	9.0	93	3.6	90
419	hambantota	6.12	27.71	78	4.29	9
